TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
9.588 0.2059 0.2307
0.0 0.0485 0.7301
2.6606 0.0871 0.6582
0.3405 0.0922 0.5104
4.5458 0.8336 0.7045
7.7409 0.1857 0.6905
0.3405 0.8745 0.8072
7.4229 0.0414 0.268
2.157 0.0428 0.5283
5.0182 0.07205 0.0913
10.0076 0.13835 0.0623
6.6246 0.0363 0.6936
0.3405 0.0691 0.1884
6.3792 0.028 0.64565
4.6412 0.08455 0.7268
0.0 0.0753 0.67585
12.0281 0.0553 0.0917
0.0 0.4346 0.432
8.0339 0.6517 0.4517
11.3855 0.1202 0.37185
7.0174 0.045 0.0645
7.1877 0.2393 0.4694
8.9356 0.41965 0.6755
6.2738 0.5568 0.6794
8.6637 0.7647 0.1648
0.8468 0.8466 0.3982
8.2709 0.08265 0.45425
7.1771 0.0378 0.71435
2.8851 0.025 0.0503
10.6284 0.0339 0.5469
0.0 0.6696 0.75895
5.0648 0.0282 0.7899
7.9756 0.7381 0.3818
4.8945 0.0734 0.1425
8.314 0.0992 0.0498
6.8807 0.0327 0.843
8.0629 0.4636 0.4926
4.4436 0.0414 0.1521
4.5943 0.1373 0.1231
7.3377 0.4332 0.3004
6.963 0.148 0.4718
7.0174 0.0664 0.7633
5.9776 0.37705 0.751
7.1798 0.0339 0.4102
7.4692 0.0766 0.8628
9.0831 0.5853 0.8607
5.4457 0.82675 0.7652
5.0182 0.58305 0.5734
TCGA-D7-6519 TCGA-D7-6519 TCGA-D7-6519
8.0808 0.047 0.31645
0.0 0.3864 0.8725
10.988 0.28955 0.4125
4.4367 0.4039 0.2421
3.8033 0.02895 0.8702
5.9858 0.3616 0.7967
2.551 0.0726 0.6418
0.4906 0.0239 0.0469
4.1044 0.8741 0.9507
11.4258 0.814 0.9194
7.356 0.4643 0.39815
3.1859 0.03 0.76355
6.786 0.0616 0.7965
0.0 0.7467 0.04995
7.2448 0.633 0.5902
7.2601 0.5844 0.9005
10.5926 0.2715 0.7457
2.6474 0.0243 0.06215
4.9901 0.69345 0.0451
5.6441 0.3616 0.36985
13.2326 0.2659 0.7101
3.7171 0.0207 0.5651
2.6557 0.1663 0.8359
10.6435 0.2804 0.63615
3.8847 0.0337 0.65355
7.0688 0.02745 0.70165
6.0665 0.0257 0.8408
9.8474 0.888 0.86325
6.4204 0.0363 0.3788
2.1128 0.026 0.5474
7.8706 0.3066 0.3042
6.6588 0.1772 0.8634
11.7932 0.6482 0.88075
0.856 0.0282 0.0452
4.1044 0.0452 0.8099
5.0619 0.0464 0.46745
2.9792 0.82825 0.618
3.0514 0.0273 0.7232
6.3718 0.0399 0.0699
13.6709 0.149 0.68625
0.0 0.4061 0.8659
5.2425 0.7957 0.7526
2.4476 0.8401 0.6775
12.7204 0.1907 0.81485
8.6112 0.0379 0.59525
11.1061 0.9398 0.9162
12.635 0.33635 0.9108
8.263 0.0394 0.7344
2.3363 0.0528 0.038
9.4078 0.03035 0.62205
7.0565 0.0663 0.7807
2.8228 0.09405 0.0188
7.2176 0.44305 0.87305
0.4906 0.5965 0.8004
10.398 0.71405 0.9411
9.841 0.3912 0.7388
9.7825 0.02105 0.4733
7.7114 0.2709 0.8288
2.2157 0.086 0.5527
4.5408 0.4062 0.7624
9.0004 0.01885 0.29485
4.0348 0.0341 0.4603
3.9987 0.0968 0.8486
10.8472 0.0429 0.0331
7.6074 0.0263 0.05795
5.5349 0.2424 0.5736
11.0562 0.262 0.6228
2.8228 0.9117 0.8736
0.856 0.9182 0.1537
9.3663 0.0642 0.8518
8.9704 0.0348 0.8116
5.4304 0.0373 0.82655
6.2995 0.4427 0.4362
11.7599 0.6981 0.777
8.0078 0.0307 0.8231
5.8607 0.9108 0.8475
9.5372 0.20765 0.8009
5.7779 0.1338 0.9354
9.1113 0.21285 0.3162
0.0 0.8561 0.0234
2.6474 0.4792 0.47775
13.09 0.0528 0.04685
4.6379 0.11075 0.50025
6.2995 0.63925 0.58
11.9768 0.5367 0.4024
3.5772 0.9324 0.52245
2.6474 0.38535 0.85085
2.4476 0.7981 0.5952
8.1356 0.03965 0.1616
1.597 0.7178 0.3085
5.5599 0.7747 0.8608
3.0514 0.2561 0.8279
4.3534 0.5004 0.4532
4.265 0.7684 0.8089
8.1462 0.0374 0.0718
4.6142 0.2423 0.6419
2.0841 0.05905 0.8493
9.4949 0.1204 0.0585
7.0469 0.2705 0.2499
7.5555 0.0312 0.12215
6.786 0.0365 0.746
1.7783 0.5563 0.7317
9.8069 0.0838 0.241
6.653 0.257 0.0589
4.9901 0.0419 0.7396
2.8228 0.1932 0.3858
